id,posX,posY,blast_name,blast_code,value,date
1,41.7662205,-8.5065208,Obedient Plant,1P6Cx7ro29VLizCmofZGAzeytGsmZqqpsL,95.72,04/18/2024
2,4.1874673,19.8752578,Birdwing Treefern,17Qre6X7wXBNB5VWTUiBEQUoJQx7BvbJvU,86.31,08/31/2023
3,-6.5322356,105.652983,Brazilian Firetree,1M3Mjh5JFddEusDDvbrEX6VcG1qYRmsS8P,89.5,07/31/2023
4,51.7930978,23.528792,Gray's Bedstraw,15pKdk1tq38yHuY87npuzobhJ7kqYWmURn,97.78,11/30/2023
5,41.8457984,-8.4193536,Tamarack,1MDEe8AbjpA64VykbP1LZHsjpynpMLpxsJ,76.83,01/23/2024
6,21.270702,110.359368,Alpine Collomia,1Bm32DU2MJVamCSGbxWdCJSXDUiQDcX5B9,57.22,10/01/2023
7,-6.3660452,107.4144526,Needlegrass,17v5UV3AXqJycSghnKwgrQ9cebjE5AiVrs,92.33,09/01/2023
8,-8.7636824,121.7238208,Smooth Forked Nailwort,1Hr84DmuPDuqDzSoEhiSuRFcZ7mNcgTVfH,66.59,07/24/2023
9,9.4535964,12.0318456,Bog Laurel,18neiTpsy3KkVCGhXKXcDNR58diBnaxxUn,91.4,10/14/2023
10,52.1660441,16.4612356,Thatching Grass,123jwTPZRzd6wyGUfFxN3PFKxrczUn5CSx,88.06,04/25/2024
11,39.86722,126.03028,Dot Lichen,1BZUnfKoAE2eA8ezysX71m5tpTCSiJ8mj7,56.54,11/19/2023
12,50.0349276,15.4780804,Pea,1CJHUMYXe8bcv2HkU4PJYsxrgkX6RCpnYW,89.72,10/20/2023
13,49.8531509,-119.611543,Starvine,1DkeWGVK8jZQEopZf5LzggaCp8iYseaf9G,79.81,06/20/2023
14,-7.1143481,-78.8226909,Yosemite Dwarf Rush,1AoVmAdHteLAPnYw4ZCscoLhyrDMSDwNC1,60.75,03/31/2024
15,41.87507,21.87599,Soft Brome,1H78Uaq1M9VPokEUuT2Heuv7zEenjrmtkW,76.51,12/11/2023
16,45.087456,15.9258141,Ornamental Nightshade,1HchQ5MLf9goDdvWUZBoY1Ffs1G7gqZ9Ds,69.9,08/19/2023
17,-10.2507168,123.5112035,Billion-dollar Grass,1GZWBgVv8WcgSn1TZG8aoWCPfGqTyXVSGR,79.23,04/15/2024
18,46.22652,-63.21809,Bluntleaved Orchid,1BkPwzBF1ygUCZkxUwMEa4qo8YAyjf7RxM,93.94,08/03/2023
19,33.580873,114.016536,Upland Boneset,1H34ShgbfhiW7vTanvAoGfTRWsnMwCfwHZ,63.9,01/20/2024
20,-6.080007,140.276147,Redhot Poker,114sEJu5EneGn5ynGX2DJhEKWpdRrUDNag,65.19,06/07/2023
21,-14.91256,-69.874893,Needletip Blue-eyed Grass,13sA2UFQmpwLxqRDrURUemFDGTHJk1fVvH,75.98,01/16/2024
22,39.0063718,117.6852235,Seaside Knotweed,15D1ARVErYQSPAA6aGBVrd1wvhAd27BeKs,79.75,02/17/2024
23,53.3992318,-1.7622544,Rimmed Lichen,16AuxpzTyAhPH4bJwhtEJJbZ3e969MwMSK,95.33,01/30/2024
24,5.7806339,36.5715924,Tecate Cypress,1MtST9gerVDZK7Rsmz7hK8kCmRmThTSpj7,64.71,06/08/2023
25,14.262652,121.498915,Kaweah River Phacelia,1BB3bH8tAkDNVPsZGSUkDnDScMm9bmVUjg,63.29,03/11/2024
26,37.646108,120.477813,Pylaes' Sphagnum,16D8tqXC574e5YokKD7FBWpNU8k2CkcwW8,88.37,08/08/2023
27,50.186053,20.598197,Saltmarsh Umbrella-sedge,1X1xYYCjhGTRjuoEkbw96ihVMGc4j4H3q,81.05,01/20/2024
28,30.356669,117.47637,Cutleaf Spleenwort,1BwZNfHUw834Pp8Ef28GcKcBifyv3Xk2Fk,62.74,03/22/2024
29,30.145729,120.589457,Vancouver Witch's Hair Lichen,151x6n5LCAKe5nspDu9jo8NFgS2CKTU3c4,69.92,02/08/2024
30,-25.9248045,28.0172665,Charlotte's Phacelia,1A5Zctw6rEGdw9pAkCN9XAmhpq6Mmxpi39,78.24,02/18/2024
31,60.1387829,14.3822323,Arizona Honeysweet,1PLYGg344rg58aRZGAqsRAfT1Ae9L5JbXw,90.85,08/07/2023
32,-20.5558832,-48.5762695,European Bedstraw,1LUnfnLaQ5HtxaZPSK7V9rj36eEBhfZ32F,53.26,07/03/2023
33,27.6985161,85.3117065,Drooping Bulrush,1BXjjZdcCZArByiLCJCa6zdiRKyFX5ifpf,79.11,10/05/2023
34,34.888685,111.607282,Coastal Tarweed,1QCsuhsiCjFEh9ZCEKj8bujReKFREceDSZ,73.66,02/26/2024
35,31.3546763,34.3088255,Hybrid Violet,19UXBo4Mhmim6HLqYGFHmQXdMpG3PiswqQ,52.02,10/19/2023
36,42.3894673,23.7275817,Gypsum Springbeauty,196R5qiCo8nEAAeknGzXWyntEiPBEzk4Z9,70.79,04/12/2024
37,34.7226934,135.5286653,Brownray Knapweed,1PfawAnpeuG3D84m5nGSi24YJTSmveHkh6,80.38,06/30/2023
38,44.4248175,8.9266041,Forest Mirrorplant,1EfWD7FgFFkZ9KjonaAMwp8z9g3g2rXYQy,55.04,06/03/2023
39,42.849628,-71.1049505,Horehound-leaf Nettle,1EGtpjaPLsBJ2XUdNTPVAEpUhbgY6KXDHc,59.87,12/30/2023
40,28.404102,113.020456,Asian White Birch,1F4j5NTuMQNpMPB5Sfj7B6xQmCBfgoPtjB,83.28,07/20/2023
41,32.7657318,-117.199996,Witchweed,1LxwF5ipafSprK7862DjnFWrDkNiAqEdgH,85.3,04/23/2024
42,42.5824637,141.3159801,Mountain Fly Honeysuckle,1H3FP43GwSCwrVovivWwzWLzKRxi2RMdst,96.84,03/16/2024
43,19.4838854,-99.1135903,Scotter's Whitlowgrass,1PSyKUYMEsqa7g3XuzYxkvbxhaJa1oqaTu,84.57,11/14/2023
44,22.543096,114.057865,Shining Pepperweed,1Aj3CN3q9cRbwpnC7SYCwfg8YicsN5V8Ki,70.58,05/19/2023
45,49.01091,14.0000005,Moloka'i Fescue,13aTGZqWh8p97dshShdqvFBV4H4d8ywPUx,80.45,05/18/2023
46,4.3378413,98.0717968,Coastalcreeper,18vkX56tPmo7MakjzqiKUN8H6fE89modsk,85.48,09/17/2023
47,4.0892492,9.3146014,Arrowleaf Mallow,1A7LA71wD8zAs41kFx8MCgCFXPkWxwxfC8,67.38,07/22/2023
48,7.4175054,125.8192698,Forked Woodrush,1HC8wVkCWTGS3me7iYAgRAmSuYFZBdccBP,58.7,11/25/2023
